question_id,kc_id,name,description
159,76,Relational Algebra,Relational algebra (RA) provides an intermediate step for evaluating SQL.
160,76,Relational Algebra,Relational algebra (RA) provides an intermediate step for evaluating SQL.
160,77,Projection,"choose certain attributes (i.e., columns)."
160,6,Cartesian product,The Cartesian product operation takes an ordered list of sets and returns a set of tuples.
160,79,Renaming,"Renaming is used to rename either the relation name or the attribute names, or both."
161,33,Join,"When we want to retrieve data from more than one relation, we often need to use join operations."
161,76,Relational Algebra,Relational algebra (RA) provides an intermediate step for evaluating SQL.
161,79,Renaming,"Renaming is used to rename either the relation name or the attribute names, or both."
149,9,union,The union of two sets is a set containing all elements that are in A or in B (possibly both).
149,76,Relational Algebra,Relational algebra (RA) provides an intermediate step for evaluating SQL.
149,77,Projection,"choose certain attributes (i.e., columns)."
149,78,Selection,"Select operation chooses the subset of tuples from the relation that satisfies the given condition mentioned in the syntax of selection. The selection operation is also known as horizontal partitioning since it partitions the table or relation horizontally.
"
187,82,Discretionary access control (DAC),Based on the concept of access privileges for giving users such privileges. SQL support DAC; most commercial DBMSs also support DAC.
189,85,SQL Injection,SQL injection attacks from internal and external users
191,89,Authentication,Authentication is the process of confirming that a user logs in only in accordance with the rights to perform the activities he is authorized to perform. User authentication can be performed at the operating system level or database level itself.
192,83,GRANT,GRANT gives privileges to users.
192,86,REVOKE,REVOKE takes away privileges from users.
193,83,GRANT,GRANT gives privileges to users.
193,86,REVOKE,REVOKE takes away privileges from users.
194,80,Database Security,Database security refers to the collective measures used to protect and secure a database or database management software from illegitimate use and malicious cyber threats and attacks.
195,84,Mandatory Access Control (MAC),Restrict access to objects based on the sensitivity of the information contained in the objects and the formal authorization of subjects to access information of such sensitivity.
196,90,Trojan Horse attacks,"Trojan Horse attacks: If Steve tricks Bob into copying data from table R into table R0, then the access control on table R doesn’t apply to the copy of the data in table R0."
197,80,Database Security,Database security refers to the collective measures used to protect and secure a database or database management software from illegitimate use and malicious cyber threats and attacks.
198,89,Authentication,Authentication is the process of confirming that a user logs in only in accordance with the rights to perform the activities he is authorized to perform. User authentication can be performed at the operating system level or database level itself.
219,91,Transactions,A transaction is a sequence of database operations grouped together for execution as a logic unit in a DBMS.
200,91,Transactions,A transaction is a sequence of database operations grouped together for execution as a logic unit in a DBMS.
188,84,Mandatory Access Control (MAC),Restrict access to objects based on the sensitivity of the information contained in the objects and the formal authorization of subjects to access information of such sensitivity.
183,85,SQL Injection,SQL injection attacks from internal and external users
162,33,Join,"When we want to retrieve data from more than one relation, we often need to use join operations."
162,76,Relational Algebra,Relational algebra (RA) provides an intermediate step for evaluating SQL.
162,77,Projection,"choose certain attributes (i.e., columns)."
162,79,Renaming,"Renaming is used to rename either the relation name or the attribute names, or both."
147,76,Relational Algebra,Relational algebra (RA) provides an intermediate step for evaluating SQL.
147,78,Selection,"Select operation chooses the subset of tuples from the relation that satisfies the given condition mentioned in the syntax of selection. The selection operation is also known as horizontal partitioning since it partitions the table or relation horizontally.
"
100,57,Cardinality ratios,Specifies the maximum number of relationships that an entity can participate in.
100,59,Many-To-Many, a many-to-many relationship where many occurrences in an entity relate to many occurrences in another entity.
103,57,Cardinality ratios,Specifies the maximum number of relationships that an entity can participate in.
201,93,Isolation,"In database systems, isolation determines how transaction integrity is visible to other users and systems."
103,60,One-To-Many,A one-to-many relationship is where one occurrence in an entity relates to many occurrences in another entity.
203,91,Transactions,A transaction is a sequence of database operations grouped together for execution as a logic unit in a DBMS.
204,96,Two-Phase Locking (2PL) Protocol,Two-Phase Locking Protocol is also known as 2PL protocol is a method of concurrency control in DBMS that ensures serializability by applying a lock to the transaction data which blocks other transactions to access the same data simultaneously. Two-Phase Locking protocol helps to eliminate the concurrency problem in DBMS.
206,95,Concurrent Transactions,Concurrent transaction or execution includes multiple transactions which are executed concurrently or simultaneously in the system.
207,97,Logging,Logging is a technique for recovery (assuring atomicity and durability of transactions).
202,95,Concurrent Transactions,Concurrent transaction or execution includes multiple transactions which are executed concurrently or simultaneously in the system.
95,16,Attribute,"Attributes are used to describe the properties of information. In the relational model, they usually refer to atomic data."
96,16,Attribute,"Attributes are used to describe the properties of information. In the relational model, they usually refer to atomic data."
98,52,Key attributes,A key attribute is the unique characteristic of the entity.
99,54,Subclass,A subclass is a class derived from the superclass. It inherits the properties of the superclass and also contains attributes of its own.
99,55,Superclass,This type of relationship between subclass and superclass is often described as an ISA relationship type.
93,48,Entity,"An entity is a real-world thing that can be distinctly identified as a person, place, or concept. It is an object which is distinguishable from others."
93,45,Entity-Relationship Model,"An Entity–relationship model (ER model) describes the structure of a database with the help of a diagram, which is known as Entity Relationship Diagram (ER Diagram). An ER model is a design or blueprint of a database that can later be implemented as a database. "
93,46,Data structure,"The data structure is a data organization, management, and storage format that enables efficient access and modification. More precisely, a data structure is a collection of data values, the relationships among them, and the functions or operations that can be applied to the data."
94,48,Entity,"An entity is a real-world thing that can be distinctly identified as a person, place, or concept. It is an object which is distinguishable from others."
97,51,weak entity ,"A weak entity type is an entity type that does not have sufficient attributes
to form a primary key."
101,58,Participation constraints,Specifies whether the existence of any entity depends on its being related to another entity via the relationship type.
101,63,partial,It specifies that each entity in the entity set may or may not participate in the relationship instance in that relationship set.
102,49,Total ,"It specifies that each entity present in the entity set must mandatorily participate in at least one relationship instance of that relationship set,for this reason, it is also called as mandatory participation"
102,58,Participation constraints,Specifies whether the existence of any entity depends on its being related to another entity via the relationship type.
104,58,Participation constraints,Specifies whether the existence of any entity depends on its being related to another entity via the relationship type.
104,63,partial,It specifies that each entity in the entity set may or may not participate in the relationship instance in that relationship set.
105,49,Total ,"It specifies that each entity present in the entity set must mandatorily participate in at least one relationship instance of that relationship set,for this reason, it is also called as mandatory participation"
105,58,Participation constraints,Specifies whether the existence of any entity depends on its being related to another entity via the relationship type.
106,16,Attribute,"Attributes are used to describe the properties of information. In the relational model, they usually refer to atomic data."
106,48,Entity,"An entity is a real-world thing that can be distinctly identified as a person, place, or concept. It is an object which is distinguishable from others."
106,46,Data structure,"The data structure is a data organization, management, and storage format that enables efficient access and modification. More precisely, a data structure is a collection of data values, the relationships among them, and the functions or operations that can be applied to the data."
107,52,Key attributes,A key attribute is the unique characteristic of the entity.
108,48,Entity,"An entity is a real-world thing that can be distinctly identified as a person, place, or concept. It is an object which is distinguishable from others."
108,45,Entity-Relationship Model,"An Entity–relationship model (ER model) describes the structure of a database with the help of a diagram, which is known as Entity Relationship Diagram (ER Diagram). An ER model is a design or blueprint of a database that can later be implemented as a database. "
108,46,Data structure,"The data structure is a data organization, management, and storage format that enables efficient access and modification. More precisely, a data structure is a collection of data values, the relationships among them, and the functions or operations that can be applied to the data."
190,88,Role-Based Access Control (RBAC),"Access rights are grouped by roles, and the use of resources is restricted to individuals assigned to specific roles.
"
168,33,Join,"When we want to retrieve data from more than one relation, we often need to use join operations."
168,77,Projection,"choose certain attributes (i.e., columns)."
168,78,Selection,"Select operation chooses the subset of tuples from the relation that satisfies the given condition mentioned in the syntax of selection. The selection operation is also known as horizontal partitioning since it partitions the table or relation horizontally.
"
69,29,SELECT,SQL provides the SELECT statement for retrieving data from a database
70,29,SELECT,SQL provides the SELECT statement for retrieving data from a database
208,98,The Dirty Read Problem,"Dirty read is a read of uncommitted data. If a particular row is modified by another running application and not yet committed, we also run an application to read the same row with the same uncommitted data."
208,95,Concurrent Transactions,Concurrent transaction or execution includes multiple transactions which are executed concurrently or simultaneously in the system.
210,100,The Lost Update Problem,"In the lost update problem, an update done to a data item by a transaction is lost as it is overwritten by the update done by another transaction. "
211,93,Isolation,"In database systems, isolation determines how transaction integrity is visible to other users and systems."
211,103,Serializable,Serializable is the highest solution level. All transactions are totally isolated from other transactions. It is safe but may cause significant performance hit.
212,91,Transactions,A transaction is a sequence of database operations grouped together for execution as a logic unit in a DBMS.
212,93,Isolation,"In database systems, isolation determines how transaction integrity is visible to other users and systems."
212,102,Read Committed,"Read Committed is One transaction only sees committed changes by other
transactions."
213,101,Read Uncommitted,Read Uncommitted is the least restrictive isolation level.
213,93,Isolation,"In database systems, isolation determines how transaction integrity is visible to other users and systems."
213,102,Read Committed,"Read Committed is One transaction only sees committed changes by other
transactions."
213,103,Serializable,Serializable is the highest solution level. All transactions are totally isolated from other transactions. It is safe but may cause significant performance hit.
214,91,Transactions,A transaction is a sequence of database operations grouped together for execution as a logic unit in a DBMS.
210,95,Concurrent Transactions,Concurrent transaction or execution includes multiple transactions which are executed concurrently or simultaneously in the system.
217,101,Read Uncommitted,Read Uncommitted is the least restrictive isolation level.
205,95,Concurrent Transactions,Concurrent transaction or execution includes multiple transactions which are executed concurrently or simultaneously in the system.
216,96,Two-Phase Locking (2PL) Protocol,Two-Phase Locking Protocol is also known as 2PL protocol is a method of concurrency control in DBMS that ensures serializability by applying a lock to the transaction data which blocks other transactions to access the same data simultaneously. Two-Phase Locking protocol helps to eliminate the concurrency problem in DBMS.
47,18,Superkey,A superkey SK of R is a subset of attributes of R.
47,27,Candidate key,A candidate key is a combination of attributes that can be uniquely used to identify a database record without referring to any other data.
209,99,The Unrepeatable Read Problem,The unrepeatable problem occurs when two or more read operations of the same transaction read different values of the same variable.
209,95,Concurrent Transactions,Concurrent transaction or execution includes multiple transactions which are executed concurrently or simultaneously in the system.
73,37,COUNT,COUNT returns the total number of argument values
73,29,SELECT,SQL provides the SELECT statement for retrieving data from a database
73,38,MIN,MIN returns the minimum value of the arguments
199,92,ACID Properties,"DBMSs ensure the following properties of transactions. Atomicity is the execution of each transaction is atomic, i.e., either all operations are completed or not done at all. Consistency is the states of a database that are consistent (w.r.t. defined business rules) before and after each transaction. Isolation is execution results of each transaction should be unaffected by other concurrently executing transactions. Durability is once a transaction has been successfully completed, its effects should persist in the database"
199,93,Isolation,"In database systems, isolation determines how transaction integrity is visible to other users and systems."
199,94,Locking,Locking protocols are used in database management systems as a means of concurrency control. Multiple transactions may request a lock on a data item simultaneously.
